"Наименование на участника в коалиция / местна коалиция","Общ размер на предоставените парични средства от участника коалиция","Общ размер на предоставените непарични средства от участника коалиция"
"ПП БСП","466141.50","0.00"
"ПП ЕВРОПЕЙСКА СИГУРНОСТ И ИНТЕГРАЦИЯ","2000.00","0.00"
"ПК ЕКОГЛАСНОСТ","0.00","0.00"
"ПК ТРАКИЯ","0.00","0.00"
"ПП ИЗПРАВИ СЕ БЪЛГАРИЯ","0.00","0.00"
"ПП ДВИЖЕНИЕ 21","0.00","0.00"
"ПП АБВ","0.00","0.00"
"ПП БЪЛГАРСКА ПРОЛЕТ","0.00","0.00"
"ПП ПОЛИТИЧЕСКО ДВИЖЕНИЕ СОЦИАЛДЕМОКРАТИ","0.00","0.00"
"ПП КОМУНИСТИЧЕСКА ПАРТИЯ НА БЪЛГАРИЯ","0.00","0.00"
"ПП ДВИЖЕНИЕ ЗА СОЦИАЛЕН ХУМАНИЗЪМ","0.00","0.00"
"ПП БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ-ЕВРОЛЕВИЦА","0.00","0.00"
"ПП СЪЮЗ НА ОТЕЧЕСТВОТО","0.00","0.00"
"ПП ПОДЕМ","0.00","0.00"
"Сума:","468 141.50 лв.","0.00 лв."